2011,Aug,32,36
2011,Apr,44,1
2011,Nov,44,1
2013,May,33,28
2015,Jan,25,9
2015,Sep,71,9
2015,Aug,82,1
2014,Mar,43,17
2014,Jul,26,4
2012,Dec,24,8
2012,Dec,13,7
2013,Oct,21,59
2013,Mar,45,1
2015,Apr,44,1
2015,Nov,45,3
2015,Jun,31,3
2014,Dec,22,6
2012,Mar,14,12
2011,Mar,14,19
2011,Feb,25,7
2011,Feb,45,2
2013,Jul,12,201
2013,Jun,43,28
2013,Jul,62,1
2015,May,11,49
2015,Jun,52,3
2014,Oct,21,72
2014,Jul,15,6
2014,Aug,62,3
2014,Dec,16,1
2012,Apr,25,11
2012,Jul,15,8
2011,Mar,33,23
2011,Mar,42,10
2013,Aug,42,11
2013,Apr,33,33
2015,Dec,41,46
2015,Apr,31,1
2014,Apr,24,13
2014,Jan,12,112
2014,Aug,24,16
2014,Aug,51,1
2012,Sep,22,4
2012,Dec,41,40
2011,Aug,12,209
2011,Aug,14,9
2015,Sep,31,4
2014,Jan,21,26
2014,Jan,52,8
2014,Aug,22,3
2011,Oct,41,78
2011,Oct,14,9
2011,Jan,25,14
2013,Nov,13,17
2015,Nov,15,12
2015,Mar,33,26
2015,Nov,31,3
2015,Jul,72,7
2014,May,15,8
2014,Mar,44,1
2012,Feb,52,7
2011,Jan,24,10
2011,Feb,27,1
2013,Feb,41,50
2013,Sep,62,2
2015,Oct,51,7
2015,Jan,82,1
2012,Feb,43,26
2013,Jun,33,17
2014,Mar,72,1
2011,Jul,14,3
2013,Dec,12,93
2013,Sep,27,1
2015,Oct,32,26
2015,May,51,8
2015,Jul,31,9
2014,Apr,71,6
2014,Dec,43,11
2012,Aug,22,5
2011,Sep,51,3
2015,Jun,22,3
2014,Sep,44,2
2014,Nov,26,3
2014,Jan,26,2
2012,May,26,6
2011,Apr,24,18
2011,Sep,32,51
2013,Feb,11,38
2013,Oct,33,26
2013,Jan,33,22
2013,Aug,52,5
2015,Aug,43,17
2011,Apr,52,2
2013,Feb,27,2
2012,Aug,15,14
2011,Nov,45,2
2013,Jun,12,178
2013,Jan,42,8
2013,Jul,14,12
2013,Aug,25,11
2015,Jun,24,18
2014,Nov,14,11
2012,Apr,26,4
2012,Dec,52,6
2012,Aug,42,12
2011,Dec,23,2
2013,Nov,16,1
2015,Feb,31,3
2014,Aug,33,31
2012,Aug,25,9
2012,Jun,23,1
2011,Aug,15,13
2015,Sep,24,13
2015,Jul,26,6
2014,Feb,33,18
2014,Mar,71,4
2012,Jun,24,18
2012,Jan,25,6
2013,Feb,23,2
2012,Oct,41,67
2013,May,23,6
2013,May,52,4
2013,Feb,13,6
2015,Jun,43,29
2015,Jul,82,1
2015,Dec,27,1
2014,Jun,21,44
2014,Sep,26,4
2012,May,33,36
2012,Sep,52,5
2015,Oct,52,2
2014,Mar,14,10
2014,Jun,62,4
2012,Aug,32,33
2015,Oct,23,6
2014,Jan,14,13
2012,Jan,51,1
2013,Mar,41,66
2013,Dec,14,9
2014,Sep,33,32
2011,Mar,23,3
2013,May,12,176
2013,Jan,11,35
2013,Dec,45,3
2012,Apr,52,8
2011,Nov,41,46
2013,Oct,22,11
2015,Dec,14,8
2014,Jan,22,6
2013,Jul,15,11
2015,Nov,22,7
2015,Jul,14,8
2014,Apr,11,56
2011,Jun,45,3
2014,Dec,13,8
2012,Jan,32,32
2012,May,22,9
2013,Nov,32,24
2013,Sep,24,16
2015,Oct,14,5
2015,Jul,52,2
2012,Oct,33,20
2012,Mar,43,28
2011,Sep,12,187
2011,Feb,51,1
2015,Apr,33,32
2015,Sep,14,8
2012,Oct,23,3
2011,Apr,12,184
2011,Jun,42,15
2011,Oct,22,4
2015,Nov,25,7
2015,Oct,16,1
2015,Oct,71,8
2015,Feb,62,1
2015,Feb,72,3
2012,Jan,33,27
2012,May,27,1
2011,Jan,12,159
2011,Jun,33,30
2013,Nov,41,50
2015,Nov,12,141
2015,Dec,44,2
2015,Aug,13,13
2015,Jun,13,11
2014,Sep,42,14
2014,Nov,22,2
2012,Dec,11,40
2011,Aug,51,3
2014,Aug,43,21
2014,Sep,71,8
2011,Aug,43,39
2015,Nov,13,9
2015,Nov,71,6
2014,Jun,33,28
2012,Jul,13,10
2011,Nov,42,10
2011,May,21,78
2011,Apr,22,5
2013,Dec,22,6
2015,Jun,51,2
2015,Jul,44,2
2011,Nov,15,13
2011,Jan,15,7
2013,Aug,24,15
2013,Jul,43,29
2013,Jul,16,1
2013,Apr,14,13
2015,Apr,82,3
2014,Mar,22,6
2012,May,43,34
2012,Jun,11,72
2012,Aug,43,28
2011,Jul,24,13
2013,May,43,22
2015,Jul,33,18
2014,Apr,42,15
2014,Jun,15,12
2014,Apr,52,5
2012,Nov,33,21
2013,Nov,12,135
2013,Jul,32,35
2015,Nov,81,4
2014,Nov,13,8
2014,Dec,23,2
2015,Aug,21,66
2015,Jul,24,16
2015,Jun,32,24
2015,Oct,11,50
2015,Aug,22,3
2012,Apr,32,39
2012,Dec,43,15
2011,Jul,43,37
2011,Jul,13,2
2013,Jun,32,31
2013,Dec,41,43
2014,Mar,11,46
2012,Jan,11,47
2011,Jun,13,7
2011,Nov,52,1
2013,Oct,52,7
2015,Feb,13,6
2014,Nov,62,2
2014,Aug,45,1
2012,Sep,21,72
2012,Sep,13,6
2013,Aug,22,1
2015,Nov,41,44
2015,May,23,3
2015,Nov,82,1
2014,May,71,7
2014,Aug,71,4
2013,Mar,23,5
2013,Feb,71,3
2015,Nov,43,8
2015,Dec,71,2
2014,Nov,11,36
2013,Sep,41,66
2013,Dec,52,4
2015,May,41,53
2015,Aug,11,64
2015,Mar,71,5
2015,Jan,45,2
2015,Feb,42,7
2011,Nov,14,19
2011,Mar,43,33
2013,Feb,42,9
2013,Oct,32,27
2015,Nov,44,3
2015,Jun,45,1
2014,Jun,27,1
2012,Jun,45,2
2011,Jan,52,1
2015,Jul,13,16
2015,Aug,14,9
2015,Sep,72,3
2012,Feb,22,5
2011,Oct,23,7
2011,Jun,26,3
2013,Sep,26,3
2015,May,52,3
2014,Dec,71,5
2012,Jan,21,104
2013,Jan,25,8
2013,Jul,45,5
2015,May,26,7
2014,Sep,13,12
2014,Apr,62,4
2014,Jul,52,10
2013,Nov,33,24
2015,Oct,26,4
2015,Jun,62,3
2014,Mar,52,6
2011,Sep,25,11
2013,Feb,12,124
2013,Jan,72,1
2015,May,45,4
2015,Sep,45,2
2012,Jan,42,10
2012,Oct,72,1
2011,Aug,41,84
2011,Jan,32,31
2011,Nov,23,4
2013,Sep,43,23
2013,Nov,52,1
2014,Jan,32,18
2014,Apr,21,48
2014,Sep,32,26
2011,Dec,43,31
2011,Jul,15,11
2011,Apr,23,1
2013,May,25,12
2014,May,42,8
2014,Mar,61,3
2012,Jun,14,17
2012,Apr,43,23
2014,May,11,71
2014,Jun,52,3
2014,Apr,27,1
2012,Aug,11,44
2012,Apr,22,6
2011,Apr,42,7
2013,Sep,23,1
2013,Sep,72,1
2015,Jan,22,3
2015,Sep,61,1
2014,Dec,45,6
2014,Oct,15,7
2012,Sep,24,20
2011,Feb,44,2
2015,Apr,12,157
2015,Jun,12,171
2015,Aug,26,5
2014,Sep,25,9
2012,Feb,32,39
2013,Mar,42,13
2013,Oct,13,11
2015,Feb,15,11
2015,Oct,41,65
2015,Feb,82,1
2014,Oct,42,17
2011,Aug,45,2
2011,Mar,51,3
2013,Aug,51,4
2012,Sep,14,14
2012,Jun,13,13
2011,Sep,42,13
2013,May,11,63
2013,Mar,15,5
2013,Dec,23,2
2013,Apr,23,2
2015,Mar,72,3
2015,Dec,85,2
2014,Mar,41,52
2014,Jul,23,1
2012,Jan,52,14
2012,Oct,21,71
2012,Jan,44,4
2012,May,41,50
2012,Feb,45,4
2011,Apr,32,26
2011,Oct,32,41
2015,Feb,24,16
2015,May,25,9
2014,Sep,14,10
2014,Jan,33,20
2012,May,52,11
2012,May,51,4
2012,May,23,1
2011,Jun,41,79
2011,Sep,21,52
2011,May,24,14
2011,Oct,43,31
2011,Nov,13,4
2013,Aug,61,2
2015,Jul,41,82
2015,Sep,42,14
2015,Sep,81,3
2011,Mar,41,51
2011,Sep,23,4
2011,Dec,24,10
2015,Jan,32,17
2014,May,44,3
2014,Feb,13,14
2012,Sep,12,162
2012,Aug,51,3
2011,Dec,14,10
2013,May,44,3
2013,Apr,51,1
2015,Nov,29,1
2015,Nov,23,5
2011,Mar,32,28
2011,Jan,14,6
2011,Aug,26,3
2011,Aug,22,1
2013,Apr,71,1
2015,Dec,43,13
2015,Mar,22,3
2015,Oct,21,55
2015,Sep,44,5
2014,Aug,14,8
2014,May,27,3
2012,Oct,11,59
2012,Feb,42,6
2011,May,44,2
2011,Jul,25,6
2013,Jul,41,74
2015,Jul,25,13
2014,Apr,72,1
2012,Sep,44,4
2012,Oct,45,5
2013,Dec,72,1
2015,Feb,43,16
2015,Aug,45,4
2014,Apr,13,10
2014,Nov,43,20
2012,Jan,27,2
2013,Aug,12,184
2013,Apr,12,171
2015,Aug,62,5
2015,Jun,81,7
2012,Mar,21,66
2012,Apr,24,7
2012,Jul,33,25
2011,Feb,15,11
2015,Jan,52,2
2015,Mar,13,5
2015,Feb,81,2
2015,Oct,45,3
2014,Oct,41,65
2012,Nov,45,6
2012,Sep,32,44
2011,Dec,52,3
2015,Oct,12,142
2015,Mar,32,29
2015,Mar,26,7
2015,Apr,26,2
2014,Jan,15,2
2014,Nov,24,13
2011,Feb,21,61
2011,Feb,14,11
2011,Jul,52,3
2013,Jul,26,2
2014,Oct,25,14
2014,Jun,51,1
2015,May,21,60
2015,Oct,25,4
2014,Mar,21,60
2014,Jan,71,1
2011,Nov,21,77
2011,Jun,22,5
2012,Jun,21,76
2013,Jan,14,13
2013,Nov,22,6
2015,Nov,21,54
2012,Jan,22,9
2011,Dec,12,138
2011,May,12,195
2011,Jul,44,1
2013,Nov,25,11
2013,Jun,71,3
2015,Jun,26,4
2015,Apr,45,4
2015,Jan,51,2
2015,Nov,51,5
2014,Feb,43,18
2012,Oct,42,9
2011,Jun,32,38
2011,Feb,33,24
2013,Jan,12,133
2013,Apr,11,51
2013,May,42,15
2013,Dec,24,10
2015,Sep,13,11
2014,Feb,52,4
2014,Jun,61,1
2011,Oct,21,77
2011,Nov,25,9
2011,Feb,43,20
2014,Jan,45,5
2014,Dec,52,4
2012,Apr,12,188
2012,Sep,41,68
2012,Dec,21,53
2012,Feb,33,32
2012,Jun,27,1
2012,Nov,26,4
2011,Sep,11,41
2015,Feb,61,1
2014,Feb,11,28
2011,Jan,11,45
2014,Oct,11,52
2014,Feb,14,32
2014,Nov,44,1
2012,May,24,12
2011,Apr,43,33
2013,Oct,71,4
2015,Mar,31,4
2015,Aug,41,62
2015,Dec,23,2
2014,Feb,32,15
2012,Jul,51,2
2011,Feb,11,27
2011,Mar,22,7
2011,Mar,13,4
2011,Jan,13,1
2013,Mar,33,16
2013,Sep,14,8
2015,May,42,14
2015,Jan,44,1
2014,Jun,42,12
2012,May,13,13
2012,Jan,24,17
2013,Aug,21,47
2013,Dec,26,2
2013,Dec,62,1
2013,Oct,61,1
2015,Dec,31,5
2014,Oct,52,5
2011,Oct,52,3
2013,Aug,15,7
2015,Dec,33,13
2015,Oct,33,16
2015,Jan,81,4
2014,Nov,72,4
2014,Nov,61,1
2011,Feb,12,138
2011,Feb,32,20
2011,Apr,26,4
2013,Feb,25,12
2013,Dec,32,26
2015,Mar,81,4
2014,Jul,14,10
2014,Jul,51,3
2014,Jul,42,11
2011,Jul,21,55
2011,Sep,41,68
2014,Apr,32,26
2014,Sep,41,44
2012,Dec,42,8
2012,Jan,14,13
2011,Aug,44,1
2013,Mar,14,7
2015,Sep,15,8
2014,Mar,62,2
2014,Jul,45,2
2012,Jan,13,7
2013,Aug,43,22
2013,Mar,52,3
2013,Jan,62,1
2015,Jan,11,32
2015,Jul,71,7
2015,Feb,71,5
2012,Jan,15,9
2013,Jul,13,11
2013,Jun,24,4
2013,Jun,13,9
2014,Oct,24,18
2012,Nov,23,5
2011,Mar,11,44
2011,Sep,52,5
2011,May,52,2
2013,Mar,22,8
2015,Mar,43,12
2015,Dec,61,1
2012,Nov,27,1
2011,Apr,15,13
2011,Jul,26,4
2013,Jun,15,5
2015,Sep,25,4
2014,Jan,42,4
2012,Mar,32,38
2012,Jan,23,2
2011,Dec,13,6
2015,Feb,25,3
2015,Oct,62,1
2012,Oct,15,13
2012,Jul,43,34
2012,Oct,13,10
2011,Aug,23,6
2011,Dec,21,87
2013,Jul,25,6
2013,Sep,11,59
2015,Apr,43,18
2014,Sep,12,139
2014,Sep,15,10
2014,Mar,23,1
2011,Aug,11,43
2011,Apr,21,65
2013,Dec,71,4
2015,Feb,14,12
2011,Apr,13,6
2013,Mar,32,24
2013,Dec,21,48
2014,Mar,25,14
2012,Jun,12,159
2012,Feb,15,16
2015,Apr,42,16
2015,Jan,33,25
2015,Aug,72,2
2014,Mar,32,23
2014,Mar,51,1
2012,Nov,32,26
2012,Jun,25,13
2012,Dec,23,4
2012,Dec,45,1
2015,Apr,32,26
2015,Jun,33,24
2015,Apr,81,15
2014,Sep,45,7
2014,Aug,42,14
2014,Jun,13,11
2011,Mar,24,11
2015,Apr,11,43
2015,Mar,23,3
2015,Apr,52,1
2014,Mar,26,6
2014,Apr,25,10
2012,Aug,45,2
2013,Apr,42,17
2013,Oct,41,49
2013,Oct,24,9
2013,May,32,28
2013,Jan,22,5
2015,Jun,16,1
2012,Mar,45,6
2011,Jun,24,14
2013,May,45,3
2013,Oct,14,12
2013,May,26,5
2013,Nov,26,1
2015,Oct,43,14
2015,Aug,61,2
2014,Jan,41,37
2014,Jan,13,13
2014,Jun,41,65
2014,Dec,72,5
2012,Jan,26,9
2012,Jul,45,3
2012,Nov,41,49
2012,Apr,41,58
2012,Jun,41,63
2012,Dec,14,11
2012,Dec,44,1
2011,Apr,41,62
2013,Jun,11,64
2013,Apr,21,77
2015,Sep,12,153
2015,Oct,22,6
2014,Sep,62,2
2012,Nov,12,124
2012,Feb,21,59
2012,Nov,14,10
2013,Aug,14,10
2013,Aug,26,4
2015,Sep,52,5
2015,May,82,1
2012,Dec,33,19
2011,Dec,11,31
2011,May,26,2
2011,May,23,5
2011,Dec,45,2
2015,May,32,36
2014,Nov,21,45
2014,May,25,7
2012,Apr,42,20
2011,Mar,44,1
2013,Jul,42,16
2015,May,62,2
2014,Jan,11,27
2012,Oct,24,6
2012,Aug,26,4
2011,Sep,15,12
2013,Jan,45,3
2015,Oct,81,3
